metric,column,group,direction,n,n_hit,n_nonhit,median_hit,median_nonhit,mean_hit,mean_nonhit,auc,abs_auc,cliffs_delta,point_biserial_r,mannwhitney_p,evidence_strength,coverage_note
PFF rushing grade (final yr),final_grades_grades_run,pff,higher = more hits,40,6,34,69.45,58.05,69.683,56.806,0.843,0.843,0.686,0.355,0.006,strong,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Draft capital (-log pick),neg_log_pick,capital,higher = more hits,84,17,67,-1.792,-4.828,-1.947,-4.348,0.84,0.84,0.68,0.558,0.0,strong,
"Dropbacks (final yr, experience)",final_grades_dropbacks,pff,higher = more hits,40,6,34,546.0,442.5,519.5,435.735,0.779,0.779,0.559,0.297,0.0323,strong,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
PPA per play (career),career_average_ppa_all,ppa,higher = more hits,82,17,65,0.391,0.321,0.427,0.315,0.774,0.774,0.548,0.393,0.0005,strong,
Total PPA production (career),career_total_ppa_all,ppa,higher = more hits,82,17,65,438.991,314.458,482.21,332.543,0.761,0.761,0.522,0.357,0.001,strong,
Total PPA production (final yr),final_total_ppa_all,ppa,higher = more hits,82,17,65,220.427,167.325,225.358,163.345,0.712,0.712,0.424,0.321,0.0074,strong,
PPA per pass (career),career_average_ppa_pass,ppa,higher = more hits,82,17,65,0.4,0.318,0.43,0.312,0.712,0.712,0.424,0.343,0.0074,strong,
PPA on passing downs (final yr),final_average_ppa_passing_downs,ppa,higher = more hits,82,17,65,0.62,0.479,0.631,0.496,0.693,0.693,0.386,0.276,0.0148,moderate,
Total pass PPA (final yr),final_total_ppa_pass,ppa,higher = more hits,82,17,65,183.267,138.725,190.467,142.879,0.69,0.69,0.381,0.27,0.0163,moderate,
Positive-EPA play % (final yr),final_grades_positive_epa_percent,pff,higher = more hits,40,6,34,50.4,47.15,49.667,46.332,0.689,0.689,0.377,0.228,0.1499,moderate,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Passer rating (final yr),final_grades_qb_rating,pff,higher = more hits,40,6,34,105.6,95.9,103.25,95.294,0.679,0.679,0.358,0.181,0.1726,moderate,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Broad jump,combine_broad,combine,higher = more hits,56,11,45,118.0,113.0,116.182,112.756,0.676,0.676,0.352,0.229,0.0737,moderate,
PPA on 3rd down (final yr),final_average_ppa_third_down,ppa,higher = more hits,82,17,65,0.704,0.626,0.73,0.609,0.667,0.667,0.333,0.231,0.0358,moderate,
PPA per pass (final yr),final_average_ppa_pass,ppa,higher = more hits,82,17,65,0.422,0.346,0.449,0.35,0.665,0.665,0.33,0.26,0.0374,moderate,
PPA per play (final yr),final_average_ppa_all,ppa,higher = more hits,82,17,65,0.416,0.365,0.445,0.354,0.662,0.662,0.325,0.273,0.0406,moderate,
PFF accuracy % (career),career_grades_accuracy_percent,pff,higher = more hits,40,6,34,73.057,71.316,72.76,71.186,0.662,0.662,0.324,0.118,0.2246,moderate,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Completion % (final yr),final_grades_completion_percent,pff,higher = more hits,40,6,34,64.8,62.0,63.7,61.518,0.654,0.654,0.309,0.144,0.2402,moderate,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
PFF offense grade (final yr),final_grades_grades_offense,pff,higher = more hits,40,6,34,82.5,78.05,82.317,75.868,0.652,0.652,0.304,0.199,0.248,moderate,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
3-cone drill,combine_three_cone,combine,lower = more hits,52,11,41,7.0,7.09,7.028,7.116,0.357,0.643,-0.286,-0.202,0.1512,moderate,
PFF accuracy % (final yr),final_grades_accuracy_percent,pff,higher = more hits,40,6,34,74.7,71.75,73.583,71.912,0.635,0.635,0.27,0.119,0.3064,moderate,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Yards per attempt (final yr),final_grades_ypa,pff,higher = more hits,40,6,34,8.15,7.8,8.3,7.768,0.627,0.627,0.255,0.161,0.3337,weak,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
40-yard dash,combine_forty,combine,lower = more hits,59,12,47,4.78,4.81,4.761,4.816,0.373,0.627,-0.254,-0.154,0.1808,weak,
Speed score (derived),speed_score,combine,higher = more hits,59,12,47,87.305,82.574,87.615,83.676,0.622,0.622,0.245,0.157,0.1971,weak,
PFF passing grade (final yr),final_grades_grades_pass,pff,higher = more hits,40,6,34,80.4,78.95,79.917,75.503,0.613,0.613,0.225,0.133,0.394,weak,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
PFF passing grade (career),career_grades_grades_pass,pff,higher = more hits,40,6,34,79.466,76.2,78.764,73.542,0.613,0.613,0.225,0.156,0.3941,weak,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Pressure-to-sack rate (final yr),final_grades_pressure_to_sack_rate,pff,lower = more hits,40,6,34,16.35,18.3,16.317,17.785,0.397,0.603,-0.206,-0.098,0.4373,weak,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Turnover-worthy-play rate (career),career_grades_twp_rate,pff,lower = more hits,40,6,34,3.594,3.647,3.525,3.955,0.404,0.596,-0.191,-0.126,0.4716,weak,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Big-time-throw rate (final yr),final_grades_btt_rate,pff,higher = more hits,40,6,34,5.5,4.75,5.25,4.929,0.593,0.593,0.186,0.083,0.4832,weak,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
BMI,combine_bmi,combine,higher = more hits,74,17,57,28.101,27.858,28.008,27.744,0.588,0.588,0.175,0.108,0.2775,weak,
Avg time to throw (final yr),final_grades_avg_time_to_throw,pff,higher = more hits,40,6,34,2.735,2.695,2.717,2.669,0.578,0.578,0.157,0.093,0.5569,negligible,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Height,combine_height,combine,lower = more hits,74,17,57,74.0,75.0,74.588,75.053,0.443,0.557,-0.115,-0.113,0.4729,negligible,
Power-5 conference (final yr),power5,context,higher = more hits,84,17,67,1.0,1.0,0.824,0.776,0.524,0.524,0.047,0.046,0.6781,negligible,
Weight,combine_weight,combine,lower = more hits,74,17,57,221.0,220.0,221.471,222.228,0.477,0.523,-0.045,-0.036,0.782,negligible,
Turnover-worthy-play rate (final yr),final_grades_twp_rate,pff,lower = more hits,40,6,34,3.8,3.65,3.667,3.906,0.478,0.522,-0.044,-0.068,0.8794,negligible,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
Sack % (final yr),final_grades_sack_percent,pff,higher = more hits,40,6,34,5.2,5.55,5.517,5.418,0.52,0.52,0.039,0.02,0.8945,negligible,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
College seasons played,career_cfbd_seasons,context,higher = more hits,82,17,65,3.0,3.0,2.647,2.615,0.517,0.517,0.034,0.013,0.8254,negligible,
Vertical jump,combine_vertical,combine,lower = more hits,60,12,48,31.5,31.0,31.208,31.271,0.488,0.512,-0.024,-0.009,0.9041,negligible,
Avg depth of target (final yr),final_grades_avg_depth_of_target,pff,higher = more hits,40,6,34,8.85,9.5,9.517,9.247,0.51,0.51,0.02,0.073,0.9546,negligible,"PFF coverage 2014-15 only; true final-season for 2015-16 classes, else a 2015 underclassman season"
